,Ethnicity,Arrests,Year,Arrests per 1k
26,Asian Actual,63337.0,2006,12.7
14,Asian Actual,75800.0,2007,15.2
2,Asian Actual,67542.0,2008,13.6
42,Asian Actual,50434.0,2009,10.1
30,Asian Actual,62444.0,2010,12.5
18,Asian Actual,77469.0,2011,15.5
6,Asian Actual,72521.0,2012,14.6
46,Asian Actual,45603.0,2013,9.2
34,Asian Actual,59172.0,2014,11.9
22,Asian Actual,70398.0,2015,14.1
10,Asian Actual,76298.0,2016,15.3
50,Asian Actual,42872.0,2017,8.6
38,Asian Actual,57847.0,2018,11.6
1,Asian Adjusted,81483.675,2006,17.9
4,Asian Adjusted,84493.27500000001,2007,18.5
7,Asian Adjusted,85318.35,2008,18.7
10,Asian Adjusted,79803.675,2009,17.4
13,Asian Adjusted,77656.34999999999,2010,16.9
16,Asian Adjusted,70108.125,2011,15.2
19,Asian Adjusted,61256.175,2012,13.2
22,Asian Adjusted,58171.575000000004,2013,12.5
25,Asian Adjusted,53246.85,2014,11.5
28,Asian Adjusted,47145.37499999999,2015,10.1
31,Asian Adjusted,40116.225,2016,8.6
34,Asian Adjusted,36441.375,2017,7.8
37,Asian Adjusted,33924.0,2018,7.2
13,Black Actual,110712.0,2006,50.5
1,Black Actual,104888.0,2007,47.8
41,Black Actual,70730.0,2008,32.3
29,Black Actual,85929.0,2009,39.2
17,Black Actual,112816.0,2010,51.5
5,Black Actual,108937.0,2011,49.7
45,Black Actual,64670.0,2012,29.5
33,Black Actual,83108.0,2013,37.9
21,Black Actual,102054.0,2014,46.5
9,Black Actual,111064.0,2015,50.7
49,Black Actual,60116.0,2016,27.4
37,Black Actual,81669.0,2017,37.3
25,Black Actual,88184.0,2018,40.2
0,Black Adjusted,35852.817,2006,17.9
3,Black Adjusted,37177.041000000005,2007,18.5
6,Black Adjusted,37540.074,2008,18.7
9,Black Adjusted,35113.617,2009,17.4
12,Black Adjusted,34168.794,2010,16.9
15,Black Adjusted,30847.575,2011,15.2
18,Black Adjusted,26952.717000000004,2012,13.2
21,Black Adjusted,25595.493000000002,2013,12.5
24,Black Adjusted,23428.614,2014,11.5
27,Black Adjusted,20743.965,2015,10.1
30,Black Adjusted,17651.139,2016,8.6
33,Black Adjusted,16034.204999999998,2017,7.8
36,Black Adjusted,14926.56,2018,7.2
39,Mixed Actual,28242.0,2006,19.3
27,Mixed Actual,32217.0,2007,22.0
15,Mixed Actual,39371.0,2008,26.9
3,Mixed Actual,40092.0,2009,27.4
43,Mixed Actual,24553.0,2010,16.8
31,Mixed Actual,30793.0,2011,21.1
19,Mixed Actual,39985.0,2012,27.4
7,Mixed Actual,39870.0,2013,27.3
47,Mixed Actual,23137.0,2014,15.8
35,Mixed Actual,29208.0,2015,20.0
23,Mixed Actual,36820.0,2016,25.2
11,Mixed Actual,39354.0,2017,26.9
51,Mixed Actual,21832.0,2018,14.9
2,Mixed Adjusted,23901.878,2006,17.9
5,Mixed Adjusted,24784.694000000003,2007,18.5
8,Mixed Adjusted,25026.716,2008,18.7
11,Mixed Adjusted,23409.077999999998,2009,17.4
14,Mixed Adjusted,22779.195999999996,2010,16.9
17,Mixed Adjusted,20565.049999999996,2011,15.2
20,Mixed Adjusted,17968.478,2012,13.2
23,Mixed Adjusted,17063.661999999997,2013,12.5
26,Mixed Adjusted,15619.076,2014,11.5
29,Mixed Adjusted,13829.309999999998,2015,10.1
32,Mixed Adjusted,11767.426,2016,8.6
35,Mixed Adjusted,10689.47,2017,7.8
38,Mixed Adjusted,9951.039999999999,2018,7.2
0,White,1086449.0,2006,19.0
40,White,534883.0,2007,9.4
28,White,775621.0,2008,13.6
16,White,1035418.0,2009,18.1
4,White,1126577.0,2010,19.7
44,White,485885.0,2011,8.5
32,White,709958.0,2012,12.4
20,White,934775.0,2013,16.4
8,White,1137578.0,2014,19.9
48,White,452320.0,2015,7.9
36,White,628605.0,2016,11.0
24,White,816749.0,2017,14.3
12,White,1064049.0,2018,18.6
